Frequency,Magnitue,Phase
1.08442619576704e+00,-2.71912297206051e+01,8.27342882801273e+01
1.08467592287612e+00,-2.71892475752737e+01,8.27329611777290e+01
1.08492570749361e+00,-2.71872654371983e+01,8.27316337050208e+01
1.08517554963275e+00,-2.71852833063820e+01,8.27303058619409e+01
1.08542544930680e+00,-2.71833011828276e+01,8.27289776484273e+01
1.08567540652899e+00,-2.71813190665381e+01,8.27276490644179e+01
1.08592542131259e+00,-2.71793369575165e+01,8.27263201098508e+01
1.08617549367085e+00,-2.71773548557656e+01,8.27249907846638e+01
1.08642562361703e+00,-2.71753727612885e+01,8.27236610887951e+01
1.08667581116439e+00,-2.71733906740880e+01,8.27223310221823e+01
1.08692605632620e+00,-2.71714085941673e+01,8.27210005847636e+01
1.08717635911571e+00,-2.71694265215291e+01,8.27196697764768e+01
1.08742671954621e+00,-2.71674444561764e+01,8.27183385972598e+01
1.08767713763097e+00,-2.71654623981123e+01,8.27170070470506e+01
1.08792761338326e+00,-2.71634803473396e+01,8.27156751257868e+01
1.08817814681636e+00,-2.71614983038614e+01,8.27143428334064e+01
1.08842873794356e+00,-2.71595162676805e+01,8.27130101698473e+01
1.08867938677815e+00,-2.71575342388000e+01,8.27116771350471e+01
1.08893009333340e+00,-2.71555522172227e+01,8.27103437289437e+01
1.08918085762262e+00,-2.71535702029518e+01,8.27090099514750e+01
1.08943167965910e+00,-2.71515881959900e+01,8.27076758025786e+01
1.08968255945614e+00,-2.71496061963405e+01,8.27063412821923e+01
1.08993349702703e+00,-2.71476242040061e+01,8.27050063902539e+01
1.09018449238509e+00,-2.71456422189898e+01,8.27036711267010e+01
1.09043554554363e+00,-2.71436602412946e+01,8.27023354914714e+01
1.09068665651594e+00,-2.71416782709235e+01,8.27009994845027e+01
1.09093782531535e+00,-2.71396963078793e+01,8.26996631057327e+01
1.09118905195517e+00,-2.71377143521652e+01,8.26983263550989e+01
1.09144033644872e+00,-2.71357324037840e+01,8.26969892325390e+01
1.09169167880933e+00,-2.71337504627387e+01,8.26956517379907e+01
1.09194307905032e+00,-2.71317685290324e+01,8.26943138713915e+01
1.09219453718502e+00,-2.71297866026679e+01,8.26929756326790e+01
1.09244605322676e+00,-2.71278046836482e+01,8.26916370217909e+01
1.09269762718888e+00,-2.71258227719764e+01,8.26902980386646e+01
1.09294925908471e+00,-2.71238408676553e+01,8.26889586832377e+01
1.09320094892760e+00,-2.71218589706881e+01,8.26876189554478e+01
1.09345269673089e+00,-2.71198770810775e+01,8.26862788552323e+01
1.09370450250792e+00,-2.71178951988267e+01,8.26849383825288e+01
1.09395636627206e+00,-2.71159133239387e+01,8.26835975372748e+01
1.09420828803665e+00,-2.71139314564163e+01,8.26822563194076e+01
1.09446026781504e+00,-2.71119495962625e+01,8.26809147288648e+01
1.09471230562061e+00,-2.71099677434804e+01,8.26795727655837e+01
1.09496440146671e+00,-2.71079858980730e+01,8.26782304295019e+01
1.09521655536670e+00,-2.71060040600431e+01,8.26768877205568e+01
1.09546876733396e+00,-2.71040222293939e+01,8.26755446386855e+01
1.09572103738186e+00,-2.71020404061282e+01,8.26742011838257e+01
1.09597336552377e+00,-2.71000585902491e+01,8.26728573559146e+01
1.09622575177307e+00,-2.70980767817596e+01,8.26715131548897e+01
1.09647819614315e+00,-2.70960949806626e+01,8.26701685806881e+01
1.09673069864738e+00,-2.70941131869612e+01,8.26688236332471e+01
1.09698325929916e+00,-2.70921314006582e+01,8.26674783125042e+01
1.09723587811187e+00,-2.70901496217568e+01,8.26661326183966e+01
1.09748855509891e+00,-2.70881678502599e+01,8.26647865508615e+01
1.09774129027368e+00,-2.70861860861705e+01,8.26634401098362e+01
1.09799408364957e+00,-2.70842043294917e+01,8.26620932952579e+01
1.09824693523999e+00,-2.70822225802263e+01,8.26607461070639e+01
