Frequency,Magnitude,Phase
2.40436280000689e+00,-1.95267226612219e+01,8.30127739492052e+01
2.40990542868655e+00,-1.95069218539004e+01,8.29974802565494e+01
2.41546083444489e+00,-1.94871219561901e+01,8.29821501967517e+01
2.42102904673613e+00,-1.94673229722191e+01,8.29667836937371e+01
2.42661009508237e+00,-1.94475249061344e+01,8.29513806712746e+01
2.43220400907377e+00,-1.94277277621000e+01,8.29359410529744e+01
2.43781081836870e+00,-1.94079315442990e+01,8.29204647622889e+01
2.44343055269392e+00,-1.93881362569336e+01,8.29049517225108e+01
2.44906324184470e+00,-1.93683419042237e+01,8.28894018567765e+01
2.45470891568498e+00,-1.93485484904086e+01,8.28738150880626e+01
2.46036760414758e+00,-1.93287560197466e+01,8.28581913391867e+01
2.46603933723429e+00,-1.93089644965137e+01,8.28425305328071e+01
2.47172414501608e+00,-1.92891739250060e+01,8.28268325914237e+01
2.47742205763324e+00,-1.92693843095385e+01,8.28110974373776e+01
2.48313310529552e+00,-1.92495956544445e+01,8.27953249928494e+01
2.48885731828234e+00,-1.92298079640775e+01,8.27795151798593e+01
2.49459472694290e+00,-1.92100212428098e+01,8.27636679202710e+01
2.50034536169638e+00,-1.91902354950328e+01,8.27477831357832e+01
2.50610925303206e+00,-1.91704507251581e+01,8.27318607479404e+01
2.51188643150953e+00,-1.91506669376160e+01,8.27159006781217e+01
2.51767692775880e+00,-1.91308841368572e+01,8.26999028475490e+01
2.52348077248052e+00,-1.91111023273515e+01,8.26838671772827e+01
2.52929799644609e+00,-1.90913215135886e+01,8.26677935882221e+01
2.53512863049786e+00,-1.90715417000781e+01,8.26516820011052e+01
2.54097270554925e+00,-1.90517628913499e+01,8.26355323365094e+01
2.54683025258499e+00,-1.90319850919535e+01,8.26193445148540e+01
2.55270130266119e+00,-1.90122083064582e+01,8.26031184563918e+01
